place,title,time,pay,date
부산 해운대,부산반여본점,08:30~17:30,"월급1,795,310",2분전
경기 수원시,다이소 홈플러스 북수원점,09:30~15:30,"시급8,590",11분전
충남 아산시,다이소 아산배방점,10:00~16:00,"시급8,590",51분전
경남 김해시,다이소 김해대청점,09:00~15:00,"시급8,590",55분전
경기 파주시,다이소 e에브리데이통일동산점,10:00~16:00,"시급8,590",57분전
경남 김해시,다이소 김해진영2호점,10:00~16:00,"시급8,590",57분전
부산 해운대,다이소 부산해운대장산본점,16:00~22:00,"시급8,590",59분전
부산 남구,다이소 부산경성대점,16:00~22:00,"시급8,590",1시간전
대구 서구,다이소 대구비산네거리점,16:00~22:00,"시급8,590",1시간전
대구 북구,다이소 대구대현점,16:00~22:00,"시급8,590",1시간전
부산 금정구,다이소 부산구서점,16:00~22:00,"시급8,590",1시간전
경북 예천군,다이소 경북도청신도시점,09:00~22:00,"시급8,590",1시간전
경북 예천군,다이소 경북도청신도시점,09:00~22:00,"시급8,590",1시간전
대구 달성군,대구테크노폴리스점,10:00~19:30,"시급8,590",1시간전
대구 달성군,대구테크노폴리스점,07:30~22:20,"월급1,795,310",1시간전
대구 달서구,다이소 대구신당점,08:00~12:00,"시급8,590",1시간전
대구 달서구,다이소 대구상인네거리점,08:30~10:30,"시급8,590",1시간전
대구 동구,다이소 대구반야월점,16:00~22:00,"시급8,590",1시간전
대구 동구,다이소 대구반야월점,09:00~22:30,"월급1,795,310",1시간전
대구 남구,다이소 대구명덕네거리점,08:00~24:00,"월급1,795,310",1시간전
경북 경산시,다이소 경산하양점,08:30~10:30,"시급8,590",1시간전
대구 달서구,다이소 영남 오픈리베로,09:30~18:30,"월급1,795,310",1시간전
경남 양산시,다이소 양산물금2호점,07:30~22:30,"월급1,795,310",1시간전
경남 양산시,다이소 양산남부시장점,09:00~15:00,"시급8,590",2시간전
울산 중구,다이소 울산성남점,09:00~22:30,"시급8,590",2시간전
경북 칠곡군,다이소 칠곡중리점,09:00~22:30,"시급8,590",2시간전
대구 서구,다이소 대구비산네거리점,16:00~22:00,"시급8,590",2시간전
대구 북구,다이소 대구대현점,16:00~22:00,"시급8,590",2시간전
대구 달서구,다이소 대구서부점,06:30~22:30,"월급1,795,310",2시간전
대구 달서구,다이소 대구상인네거리점,08:30~10:30,"시급8,590",2시간전
대구 남구,다이소 대구명덕네거리점,08:00~24:00,"월급1,795,310",2시간전
대구 수성구,다이소 대구두산오거리점,07:30~22:30,"월급1,795,310",2시간전
충남 논산시,다이소 논산내동점,07:00~09:00,"시급8,590",2시간전
서울 영등포,다이소 롯데빅마켓영등포점,10:00~16:00,"시급8,590",2시간전
대구 수성구,다이소 영남현장CS팀,07:30~22:30,"월급1,795,310",2시간전
대구 달서구,다이소 영남현장CS팀,06:30~22:30,"월급1,795,310",2시간전
경북 포항시,다이소 포항양덕본점,09:00~22:00,"시급8,590",2시간전
경북 포항시,다이소 포항양덕본점,09:00~22:30,"월급1,795,310",2시간전
경남 양산시,다이소 양산터미널점,13:00~19:00,"시급8,590",2시간전
경남 양산시,다이소 양산터미널점,16:40~22:30,"시급8,590",2시간전
서울 영등포,아트앤하트 글로벌,13:00~19:00,"월급2,500,000",2시간전
충남 전체,아트앤하트 글로벌,13:00~19:00,"월급2,500,000",2시간전
광주 전체,아트앤하트 글로벌,13:00~19:00,"월급2,500,000",2시간전
경기 남양주,아트앤하트 글로벌,13:00~19:00,"월급2,500,000",2시간전
경남 창원시,아트앤하트 창원 석동 장복교육원,15:30~18:30,"월급200,000",3시간전
경남 창원시,아트앤하트 창원 석동 장복교육원,12:30~18:30,"월급1,250,000",08/14
